Vernier Format 2
Unbenannt.cmbl 05.07.2024 13:17:23 ,
Aktuell
Zeit	Kraft	Winkel	distance
t	Kraft	Winkel	a
s	N	rad	m

0	-0,00720554870016	0	-0
0,02	-0,00720554870016	0	-0
0,04	0,00627158344267	0	-0
0,06	0,00627158344267	0	-0
0,08	-0,000466982628748	0	-0
0,1	-0,000466982628748	0	-0
0,12	-0,000466982628748	0	-0
0,14	-0,000466982628748	0	-0
0,16	-0,00720554870016	0	-0
0,18	-0,0139441147716	0	-0
0,2	-0,000466982628748	0	-0
0,22	-0,0139441147716	0	-0
0,24	-0,000466982628748	0	-0
0,26	-0,00720554870016	0	-0
0,28	0,0130101495141	0	-0
0,3	0,00627158344267	0	-0
0,32	0,00627158344267	0	-0
0,34	0,00627158344267	0	-0
0,36	-0,0139441147716	0	-0
0,38	-0,00720554870016	0	-0
0,4	-0,00720554870016	0	-0
0,42	-0,000466982628748	0	-0
0,44	-0,00720554870016	0	-0
0,46	0,00627158344267	0	-0
0,48	0,00627158344267	0	-0
0,5	-0,00720554870016	0	-0
0,52	-0,000466982628748	0	-0
0,54	0,00627158344267	0	-0
0,56	0,0130101495141	0	-0
0,58	0,00627158344267	0	-0
0,6	-0,000466982628748	0	-0
0,62	-0,00720554870016	0	-0
0,64	-0,000466982628748	0	-0
0,66	-0,000466982628748	0	-0
0,68	-0,00720554870016	0	-0
0,7	-0,00720554870016	0	-0
0,72	-0,000466982628748	0	-0
0,74	-0,0139441147716	0	-0
0,76	0,00627158344267	0	-0
0,78	-0,0139441147716	0	-0
0,8	0,00627158344267	0	-0
0,82	-0,00720554870016	0	-0
0,84	-0,000466982628748	0	-0
0,86	0,00627158344267	0	-0
0,88	-0,00720554870016	0	-0
0,9	-0,000466982628748	0	-0
0,92	-0,00720554870016	0	-0
0,94	-0,000466982628748	0	-0
0,96	-0,000466982628748	0	-0
0,98	-0,00720554870016	0	-0
1	-0,00720554870016	0	-0
1,02	-0,00720554870016	0	-0
1,04	-0,000466982628748	0	-0
1,06	-0,000466982628748	0	-0
1,08	-0,000466982628748	0	-0
1,1	-0,000466982628748	0	-0
1,12	-0,000466982628748	0	-0
1,14	-0,00720554870016	0	-0
1,16	-0,000466982628748	0	-0
1,18	-0,00720554870016	0	-0
