"Latest: Time (s)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,0,0,0.0818796439207
0.05,0,0,0.249409704837
0.1,0,0.0116355283466,0.488045772317
0.15,0,0.0387850944888,0.803713346906
0.2,0,0.126051557088,0.486968408581
0.25,0.0174532925199,0.126051557088,-0.491277863524
0.3,0.0174532925199,0.0387850944888,-0.808022801849
0.35,0.0174532925199,0.00969627362219,-0.436332312999
0.4,0.0174532925199,0,-8.67361737988E-17
0.45,0.0174532925199,0.00969627362219,0.436332312999
0.5,0.0174532925199,0.0387850944888,0.808022801849
0.55,0.0174532925199,0.126051557088,0.495587318468
0.6,0.0349065850399,0.126051557088,-0.452492769036
0.65,0.0349065850399,0.0387850944888,-0.630257785442
0.7,0.0349065850399,0.0193925472444,-1.54197642309E-17
0.75,0.0349065850399,0.0387850944888,0.635644604121
0.8,0.0349065850399,0.126051557088,0.490200499789
0.85,0.0523598775598,0.126051557088,-0.312435483382
0.9,0.0523598775598,0.048481368111,-0.339369576777
0.95,0.0523598775598,0.048481368111,0.339369576777
1,0.0523598775598,0.126051557088,0.301661846024
1.05,0.0698131700798,0.126051557088,-0.565615961294
1.1,0.0698131700798,0.0387850944888,-1.00194827429
1.15,0.0698131700798,0,-0.953466906182
1.2,0.0698131700798,-0.0387850944888,-1.03426918637
1.25,0.0698131700798,-0.126051557088,-0.705673246948
1.3,0.0523598775598,-0.135747830711,0.048481368111
1.35,0.0523598775598,-0.0775701889775,0.183151835086
1.4,0.0523598775598,-0.126051557088,0.457879587715
1.45,0.0349065850399,-0.0872664625997,1.4867619554
1.5,0.0349065850399,0.0872664625997,1.34131785107
1.55,0.0523598775598,0.116355283466,-0.0538681867899
1.6,0.0523598775598,0.0387850944888,-1.06120327976
1.65,0.0523598775598,0.00969627362219,-3.0273920976
1.7,0.0523598775598,-0.0775701889775,-10.2080213967
1.75,0.0523598775598,-0.542991322843,-27.8875603012
1.8,0.0523598775598,-2.33680194295,-56.0983297231
1.85,-0.0872664625997,-6.15713375009,-84.055918667
1.9,-0.506145483078,-11.3252475907,-100.415686995
1.95,-1.2217304764,-16.6969831774,-105.727090213
2,-2.18166156499,-22.020237396,-106.869095773
2.05,-3.42084533391,-27.3822767091,-107.213852168
2.1,-4.92182849062,-32.7152272013,-107.876430866
2.15,-6.68461103514,-38.1839255242,-108.296602723
2.2,-8.74409955249,-43.5944462054,-107.795628585
2.25,-11.0479341651,-48.9370929712,-107.53167447
2.3,-13.6310214581,-54.3767024732,-106.545886652
2.35,-16.4933614313,-59.6514753237,-104.461187823
2.4,-19.6000474999,-64.829285438,-102.419583544
2.45,-22.9859862488,-69.832562627,-101.665428929
2.5,-26.5813645079,-74.8649286369,-103.389210906
2.55,-30.4559954473,-80.1978791291,-104.75746285
2.6,-34.609879067,-85.4144743379,-104.321130537
2.65,-38.9906554896,-90.7086397356,-101.342219808
2.7,-43.6855911774,-95.8185759345,-92.0068630372
2.75,-48.607419668,-100.152810244,-75.1515073907
2.8,-53.7212343764,-103.779216578,-43.7894490415
2.85,-59.044488595,-105.718471303,20.9116301119
2.9,-64.4026493986,-104.011927145,140.865308456
2.95,-69.7084503247,-94.8586448459,319.933934983
3,-74.5430123527,-71.9657428239,482.933681391
3.05,-77.3878990334,-39.7741143982,502.773334585
3.1,-78.1732971968,-14.1468632148,365.835016947
3.15,-78.1558439043,-1.79381062011,187.757565056
3.2,-77.9813109791,1.41565594884,66.3117379384
3.25,-77.9464043941,1.67745533664,14.1403990324
3.3,-77.8242313464,1.58049260042,-2.03621746066
3.35,-77.7718714689,1.16355283466,-5.64538597559
3.4,-77.7195115913,0.950234814975,-6.03323692047
3.45,-77.6671517137,0.562383870087,-5.93088736557
3.5,-77.6671517137,0.271495661421,-4.19633175094
3.55,-77.6496984212,0.155140377955,-2.61260705931
3.6,-77.6496984212,0.0387850944888,-1.49214877408
3.65,-77.6496984212,0.00969627362219,-0.603323692047
3.7,-77.6496984212,0,-0.193925472444
3.75,-77.6496984212,0,0.005386818679
3.8,-77.6496984212,0,0.21547274716
3.85,-77.6496984212,0.00969627362219,0.659346606309
3.9,-77.6496984212,0.048481368111,1.31007430273
3.95,-77.6496984212,0.164836651577,1.39841812907
4,-77.6322451287,0.255981623626,0.284424026251
4.05,-77.6147918362,0.193925472444,-0.905524219939
4.1,-77.6147918362,0.0969627362219,-1.57510578174
